System	Type	pTM+ipTM	pDockQ	minShared	maxShared
mt12	ATC	0.4129607493729108				
mt12	ATC	0.4122308733698037				
mt12	ATC	0.4105208433192908				
mt12	ATC	0.38922555345824006				
mt12	ATC	0.38436072065868054				
mt12	ATC	0.3692405129303601				
mt12	ATC	0.36630996382660236				
mt12	ATC	0.3657799292265739				
mt12	ATC	0.36054082008027266				
mt12	ATC	0.35982243147037085				
mt12	ATC	0.35924065405118943				
mt12	ATC	0.3510242520537961				
mt12	ATC	0.3420382588995511				
mt12	ATC	0.3369334959674122				
mt12	ATC	0.32255277764512863				
mt12	ATC	0.29346985521764796				
mt12	ATC	0.2759436646641484				
mt12	ATC	0.2391433263210499				
mt12	ATC	0.18863192298322354				
mt12	ATC	0.1868246662781895				
mt12	ATC	0.15528480701114936				
mt12	TC	0.24434632306811907	0.064	0.06493506493506493	0.36585365853658536	
mt12	TC	0.24327429772209122	0.073	0.07792207792207792	0.391304347826087	
mt12	TC	0.23142537685658332	0.064	0.06493506493506493	0.3409090909090909	
mt12	TC	0.2184468522315912	0.058	0.06060606060606061	0.358974358974359	
mt12	TC	0.209377708060874	0.062	0.09523809523809523	0.4489795918367347	
mt12	TC	0.2070071243017222	0.057	0.0735930735930736	0.4358974358974359	
mt12	TC	0.20617054889256806	0.058	0.0735930735930736	0.4358974358974359	
mt12	TC	0.2038845332003496	0	0	0	
mt12	TC	0.20288646550249365	0.038	0.047619047619047616	0.4230769230769231	
mt12	TC	0.2016685095666832	0.068	0.08225108225108226	0.4634146341463415	
mt12	TC	0.19914111807885992	0.048	0.06926406926406926	0.4444444444444444	
mt12	TC	0.19813471011996994	0.062	0.09090909090909091	0.45652173913043476	
mt12	TC	0.19576209736274075	0.038	0.03896103896103896	0.375	
mt12	TC	0.19394719454982728	0.041	0.05194805194805195	0.375	
mt12	TC	0.1930213010659585	0.042	0.06060606060606061	0.4827586206896552	
mt12	TC	0.1924303467036817	0.061	0.0735930735930736	0.4358974358974359	
mt12	TC	0.1897269268764187	0.177	0.1038961038961039	0.39344262295081966	
mt12	TC	0.18781050567372	0.042	0.06493506493506493	0.46875	
mt12	TC	0.18444217113323275	0.095	0.05627705627705628	0.23214285714285715	
mt12	TC	0.182868123745221	0.033	0.05627705627705628	0.40625	
mt12	TC	0.18274532543842809	0.047	0.06926406926406926	0.48484848484848486	
mt12	TC	0.1826439722039297	0.054	0.05194805194805195	0.25	
mt12	TC	0.17910054817399124	0.018	0.008658008658008658	0.6666666666666666	
mt12	TC	0.17830344426077388	0.053	0.06060606060606061	0.4117647058823529	
mt12	TC	0.17804095812238396	0.044	0.047619047619047616	0.36666666666666664	
mt13	AC	0.40813785575246136	0.066	0.3023255813953488	0.5591397849462365	
mt13	AC	0.38146943492788493	0.057	0.45930232558139533	0.6638655462184874	
mt13	AC	0.37689617450914426	0.043	0.3546511627906977	0.7176470588235294	
mt13	AC	0.3648507480555126	0.054	0.4418604651162791	0.6333333333333333	
mt13	AC	0.3512488579244038	0.042	0.313953488372093	0.6923076923076923	
mt13	AC	0.34774846024987394	0.162	0.5	0.5657894736842105	
mt13	AC	0.3427243557504031	0.042	0.27325581395348836	0.573170731707317	
mt13	AC	0.3368568111649284	0.074	0.37209302325581395	0.6037735849056604	
mt13	AC	0.3125082014236601	0.074	0.436046511627907	0.6410256410256411	
mt13	AC	0.3003998949901255	0.043	0.27325581395348836	0.573170731707317	
mt13	AC	0.2826048861124539	0.041	0.3488372093023256	0.7317073170731707	
mt13	AC	0.28078750384417256	0.046	0.32558139534883723	0.6222222222222222	
mt13	AC	0.2730974329052399	0.053	0.36627906976744184	0.63	
mt13	AC	0.26761701815005684	0.037	0.313953488372093	0.6585365853658537	
mt13	AC	0.25663366454319286	0.045	0.3546511627906977	0.648936170212766	
mt13	AC	0.24924962537591863	0.08	0.25	0.4673913043478261	
mt13	AC	0.24139689912643775	0.028	0.18604651162790697	0.6666666666666666	
mt13	AC	0.23887222998850902	0.051	0.31976744186046513	0.5851063829787234	
mt13	AC	0.23174959599177	0.049	0.3430232558139535	0.6413043478260869	
mt13	AC	0.2114050765809417	0.047	0.21511627906976744	0.5138888888888888	
mt13	AC	0.21038011134204718	0.032	0.18023255813953487	0.7380952380952381	
mt13	AC	0.20547375370052315	0.043	0.2441860465116279	0.5454545454545454	
mt13	AC	0.20405712035328757	0.035	0.23837209302325582	0.6612903225806451	
mt13	AC	0.18638177723354843	0.035	0.12209302325581395	0.5	
mt13	AC	0.18098940149195442	0.036	0.11627906976744186	0.4	
mt13	AT	0.8490900962224471	0.495	0.5465116279069767	0.7899159663865546	
mt13	AT	0.846503595738795	0.469	0.5755813953488372	0.7857142857142857	
mt13	AT	0.8436467646255702	0.38	0.5872093023255814	0.8416666666666667	
mt13	AT	0.8434198587605166	0.401	0.6337209302325582	0.7841726618705036	
mt13	AT	0.8433873720829248	0.494	0.5697674418604651	0.8376068376068376	
mt13	AT	0.8428770432021839	0.448	0.5232558139534884	0.7894736842105263	
mt13	AT	0.8418509236604286	0.451	0.6511627906976745	0.7887323943661971	
mt13	AT	0.8368578731678897	0.425	0.6395348837209303	0.7857142857142857	
mt13	AT	0.8360603243114274	0.317	0.5755813953488372	0.8918918918918919	
